slot,total_sessions,lab_sessions,theory_sessions
Fri_09:00,1,0,1
Fri_11:00,1,0,1
Fri_12:00,2,0,2
Fri_14:00,4,3,1
Fri_15:00,4,3,1
Fri_16:00,1,0,1
Mon_09:00,2,0,2
Mon_12:00,2,0,2
Mon_14:00,4,2,2
Mon_15:00,4,3,1
Mon_16:00,2,1,1
Sat_09:00,3,0,3
Sat_11:00,2,0,2
Sat_12:00,1,0,1
Sat_14:00,4,3,1
Sat_15:00,4,4,0
Sat_16:00,3,1,2
Thu_09:00,1,0,1
Thu_11:00,2,0,2
Thu_12:00,1,0,1
Thu_14:00,4,3,1
Thu_15:00,4,4,0
Thu_16:00,2,1,1
Tue_09:00,1,0,1
Tue_11:00,3,0,3
Tue_12:00,2,0,2
Tue_14:00,2,2,0
Tue_15:00,4,3,1
Tue_16:00,1,1,0
Wed_09:00,1,0,1
Wed_11:00,1,0,1
Wed_12:00,1,0,1
Wed_14:00,2,1,1
Wed_15:00,4,3,1
Wed_16:00,2,2,0
